dataset,penalty_scope,controlled_duration_sec,n_periods,n_periods_with_scope,n_edges_or_windows,actual_distance_m,fallback_distance_m,movement_ratio_mean,movement_ratio_median,dwell_edge_share_mean,speed_bound_ok
geolife,all_outage,,14,0,0,0,0,,,,True
geolife,moving_outage,,14,0,0,0,0,,,,True
porto,all_outage,,10,1,1,12.0,2046.0,0.005865102639296188,0.005865102639296188,0.0,True
porto,moving_outage,,10,1,1,12.0,2046.0,0.005865102639296188,0.005865102639296188,0.0,True
rome,all_outage,,162,162,1088,14705.0,2261325.0,0.006537900423562758,0.0022032761758789157,0.6332720588235294,True
rome,moving_outage,,162,125,399,13366.0,835593.0,0.016205666488070047,0.009935419771485345,0.0,True
tdrive,all_outage,,1,1,24,435.0,237567.0,0.0018308080808080807,0.0,0.9583333333333334,True
tdrive,moving_outage,,1,1,1,435.0,9900.0,0.04393939393939394,0.04393939393939394,0.0,True
geolife,controlled_60s,60,14,14,42,24323.0,83160.0,0.29248436748436746,0.3055555555555556,0.0,True
geolife,controlled_120s,120,14,14,42,35530.0,166320.0,0.2136243386243386,0.20744949494949494,0.0,True
geolife,controlled_300s,300,14,14,38,50661.0,372999.0,0.1358206546202838,0.11808080808080808,0.02631578947368421,True
porto,controlled_60s,60,10,10,30,8034.0,59400.0,0.13525252525252526,0.13686868686868686,0.0,True
porto,controlled_120s,120,10,10,30,9373.0,118800.0,0.0788973063973064,0.06262626262626263,0.05,True
porto,controlled_300s,300,10,10,30,11959.0,297000.0,0.04026599326599326,0.011363636363636364,0.2533333333333333,True
rome,controlled_60s,60,162,159,450,45295.0,888921.0,0.050984068789083785,0.014141414141414142,0.017777777777777778,True
rome,controlled_120s,120,162,159,445,55565.0,1762299.0,0.0315353617726828,0.011111111111111112,0.2202247191011236,True
rome,controlled_300s,300,162,160,434,72102.0,4297986.0,0.016800699609659398,0.007210141279908722,0.4836405529953917,True
tdrive,controlled_300s,300,1,1,1,435.0,9900.0,0.04393939393939394,0.04393939393939394,0.0,True
